Normal (kWh),Economic (kWh),Self-consumption (kWh),Injection,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,rain_1h,clouds_all,weather_broken clouds,weather_few clouds,weather_heavy intensity rain,weather_light rain,weather_moderate rain,weather_overcast clouds,weather_scattered clouds,weather_sky is clear,hour,day_of_year,rain_binary
0.0,0.0,0.0,None,13.97,13.54,11.45,14.04,1027,81,1.96,0.0,87,False,False,False,False,False,True,False,False,0,272,False
0.0,0.0,0.0,None,13.48,13.02,13.43,13.9,1028,82,1.83,0.0,91,False,False,False,False,False,True,False,False,1,272,False
0.0,0.0,0.0,None,12.93,12.47,12.72,13.43,1027,84,1.96,0.0,93,False,False,False,False,False,True,False,False,2,272,False
0.0,0.0,0.0,None,12.61,12.15,10.34,12.93,1027,85,1.85,0.0,95,False,False,False,False,False,True,False,False,3,272,False
0.0,0.0,0.0,None,12.61,12.17,9.79,12.93,1027,86,1.83,0.0,93,False,False,False,False,False,True,False,False,4,272,False
0.0,0.0,0.0,None,12.62,12.16,11.72,12.93,1028,85,2.04,0.0,90,False,False,False,False,False,True,False,False,5,272,False
0.0,0.0,0.0,None,12.61,12.09,11.12,12.93,1028,83,1.98,0.0,83,True,False,False,False,False,False,False,False,6,272,False
0.0,0.0,0.0,None,13.27,12.69,10.34,13.48,1028,78,2.34,0.0,87,False,False,False,False,False,True,False,False,7,272,False
0.0,0.0,0.0,None,16.14,15.77,11.77,16.26,1029,75,2.15,0.0,65,True,False,False,False,False,False,False,False,8,272,False
0.0,0.0,0.0,None,18.85,18.54,15.57,19.04,1029,67,1.76,0.0,18,False,True,False,False,False,False,False,False,9,272,False
0.0,0.0,0.0,None,19.83,19.59,17.57,20.15,1029,66,2.09,0.0,3,False,False,False,False,False,False,False,True,10,272,False
0.0,0.0,0.0,None,20.71,20.53,20.57,21.77,1029,65,2.69,0.0,12,False,True,False,False,False,False,False,False,11,272,False
0.0,0.0,0.0,None,21.76,21.66,20.72,22.23,1028,64,2.86,0.0,25,False,False,False,False,False,False,True,False,12,272,False
0.0,0.0,0.0,None,22.82,22.75,19.72,24.54,1028,61,2.78,0.0,26,False,False,False,False,False,False,True,False,13,272,False
0.0,0.0,0.0,None,23.34,23.32,20.72,23.48,1027,61,2.71,0.0,31,False,False,False,False,False,False,True,False,14,272,False
0.215,0.0,0.0,None,23.83,23.81,20.72,24.04,1027,59,2.95,0.0,44,False,False,False,False,False,False,True,False,15,272,False
0.433,0.0,0.149,Low,23.8,23.75,20.72,24.04,1026,58,3.36,0.0,25,False,False,False,False,False,False,True,False,16,272,False
0.292,0.0,0.315,Low,22.99,22.94,19.72,23.48,1026,61,3.22,0.0,21,False,True,False,False,False,False,False,False,17,272,False
0.522,0.0,0.06,None,21.51,21.41,19.55,21.82,1026,65,3.44,0.0,10,False,False,False,False,False,False,False,True,18,272,False
0.581,0.0,0.0,None,20.19,20.07,16.72,20.7,1027,69,3.21,0.0,2,False,False,False,False,False,False,False,True,19,272,False
0.506,0.0,0.0,None,19.09,18.93,15.72,19.59,1027,72,2.98,0.0,10,False,False,False,False,False,False,False,True,20,272,False
0.534,0.0,0.0,None,18.25,18.06,14.72,18.48,1027,74,2.8,0.0,11,False,True,False,False,False,False,False,False,21,272,False
0.726,0.0,0.0,None,17.74,17.63,14.72,17.93,1027,79,2.47,0.0,16,False,True,False,False,False,False,False,False,22,272,False
0.662,0.0,0.0,None,17.96,17.69,13.72,18.48,1027,72,2.4,0.0,5,False,False,False,False,False,False,False,True,23,272,False
0.704,0.0,0.0,None,13.97,13.69,12.72,15.66,1027,87,2.07,0.0,39,False,False,False,False,False,False,True,False,0,273,False
0.466,0.0,0.0,None,17.34,16.98,12.72,17.93,1026,71,1.93,0.0,88,False,False,False,False,False,True,False,False,1,273,False
0.356,0.0,0.0,None,13.73,13.46,12.57,15.1,1026,88,1.81,0.0,98,False,False,False,False,False,True,False,False,2,273,False
0.355,0.0,0.0,None,12.92,12.62,11.72,14.54,1025,90,1.78,0.0,73,True,False,False,False,False,False,False,False,3,273,False
0.346,0.0,0.0,None,12.88,12.6,11.72,14.54,1025,91,1.77,0.0,42,False,False,False,False,False,False,True,False,4,273,False
0.351,0.0,0.0,None,17.16,16.84,10.72,17.37,1025,73,1.83,0.0,28,False,False,False,False,False,False,True,False,5,273,False
0.454,0.0,0.0,None,11.58,11.17,10.72,13.43,1025,91,1.81,0.0,40,False,False,False,False,False,False,True,False,6,273,False
0.372,0.0,0.002,None,11.67,11.24,10.72,15.11,1026,90,1.71,0.0,2,False,False,False,False,False,False,False,True,7,273,False
0.366,0.0,0.228,Medium,19.4,19.07,14.54,19.59,1026,64,1.86,0.0,0,False,False,False,False,False,False,False,True,8,273,False
